old_url,new_url,status,reason,owner,tested,action
http://clarky3d.com/,https://clarky3d.com/,301,force-https,infra,2026-08-11 live,keep-on-vercel
https://www.clarky3d.com/,https://clarky3d.com/,301,apex-canonical,infra,2026-08-11 live,configure-on-vercel-domain
https://print.clarkyau.com/,https://clarky3d.com/,DNS-fail,unresolved legacy host in old SSR meta,owner-decision,2026-08-11 NXDOMAIN,retire-or-restore
https://clarky3d.com/admin,n/a,gone-on-next,Netlify admin not ported,owner-decision,live-200,keep-off-new-site
https://clarky3d.com/admin.html,n/a,gone-on-next,admin alias,owner-decision,live-200,keep-off-new-site
https://clarky3d.com/#colours,https://clarky3d.com/colours,308-equivalent,hash to real route,engineering,app-route,document-share-new-url
https://clarky3d.com/?p=Hotwheels/Display_Racks/5x1_Rack,https://clarky3d.com/work/5x1-rack,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Retro_Gaming/Snes/Cart_Slide_Out_Drawer,https://clarky3d.com/work/cart-slide-out-drawer,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Misc_Items/Drinks/Can_Holder,https://clarky3d.com/work/can-holder,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Misc_Items/Key_Rings/Trolley_Key,https://clarky3d.com/work/trolley-key,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/3ml_Cases/Medium_Case_3ml_10x2,https://clarky3d.com/work/medium-case-3ml-10x2,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/3ml_Cases/Base_Case,https://clarky3d.com/work/base-case,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/3ml_Cases/The_Secure_Crumpet,https://clarky3d.com/work/the-secure-crumpet,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Labeling/Mini_Labeler,https://clarky3d.com/work/mini-labeler,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Labeling/Label_Helper_Stand,https://clarky3d.com/work/label-helper-stand,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Labeling/Ten_One_Case,https://clarky3d.com/work/ten-one-case,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Labeling/Bulk_50_Case,https://clarky3d.com/work/bulk-50-case,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Travel_Cases/Travel_Case_1,https://clarky3d.com/work/travel-case-1,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Travel_Cases/Travel_Case_with_Cooling,https://clarky3d.com/work/travel-case-with-cooling,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Misc_Items/Labeled_Vial_Caps,https://clarky3d.com/work/labeled-vial-caps,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Pens/Novopen_4_Spacers,https://clarky3d.com/work/novopen-4-spacers,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
https://clarky3d.com/?p=Vial_Storage/Pens/Pen_Storage_9,https://clarky3d.com/work/pen-storage-9,308,preserve sitemap product deep links,engineering,middleware-m4,implemented
